,Mutation date,ID,Gender,Age,Birthdate,Life expectancy,Marital status,Couple nr,Marriage duration,Marriage end date,Marriage intention,Marriage age,Wedding date,Employment status,Income,Capital,Children,NrChildren,Birth age,Birthing date,Alive,Event
0,2011-01-01,0,Female,14,1997-11-24,9e-05,Single,0,,,No,,,Child,0,0,No,0,35.0,2032-11-15,1,Created
1,2011-01-01,1,Male,40,1971-07-28,0.0009400000000000001,Single,0,,,Yes,32.0,,Flexible contract,27703,-48714,No,0,,NA,1,Created
2,2011-01-01,2,Female,77,1934-06-27,0.0259,Married,1,,2034-04-14,Yes,,,Retired,4344,13914,Yes,2,,NA,1,Created
3,2011-01-01,3,Male,57,1954-05-13,0.00572,Married,1,,2034-04-14,Yes,,,Permanent contract,611,700630,Yes,2,,NA,1,Created
4,2011-01-01,4,Female,49,1962-11-11,0.00193,Married,2,,2068-02-24,Yes,,,Entrepreneur with personel,6563,34763,Yes,2,,NA,1,Created
5,2011-01-01,5,Male,40,1971-09-07,0.0009400000000000001,Married,2,,2068-02-24,No,,,Permanent contract,28735,203629,Yes,2,,NA,1,Created
6,2011-01-01,6,Male,41,1970-11-22,0.0008900000000000001,Married,3,,2037-12-29,No,,,Permanent contract,19773,304026,Yes,3,,NA,1,Created
7,2011-01-01,7,Male,64,1947-07-20,0.01097,Married,4,,2058-07-28,Yes,,,Flexible contract,35340,-30347,Yes,1,,NA,1,Created
8,2011-01-01,8,Female,71,1940-06-07,0.013009999999999999,Married,3,,2037-12-29,Yes,,,Retired,35040,485944,Yes,3,,NA,1,Created
9,2011-01-01,9,Female,11,2000-09-19,7e-05,Single,0,,,Yes,33.0,2033-09-30,Child,0,0,Yes,0,22.0,2022-04-23,1,Created
10,2011-01-01,10,Female,69,1942-07-28,0.0108,Divorced,0,,,Yes,,,Retired,13967,77943,No,0,,NA,1,Created
11,2011-01-01,11,Male,90,1921-05-09,0.16977,Widowed,0,,,Yes,,,Retired,18562,-5047,Yes,0,,NA,1,Created
12,2011-01-01,12,Male,57,1954-12-17,0.00572,Married,5,,2067-05-03,No,,,Permanent contract,26599,49023,Yes,1,,NA,1,Created
13,2011-01-01,13,Male,60,1951-10-20,0.006840000000000001,Married,6,,2058-05-22,No,,,Flexible contract,25939,9691,Yes,3,,NA,1,Created
14,2011-01-01,14,Female,17,1994-09-27,0.0001,Single,0,,,No,,,Child,0,0,No,0,43.0,2037-02-25,1,Created
15,2011-01-01,15,Male,18,1993-01-10,0.00032,Single,0,,,No,,,Permanent contract,254979,-4093,Yes,0,,NA,1,Created
16,2011-01-01,16,Male,0,2011-10-12,0.0036200000000000004,Single,0,,,No,,,Child,0,0,Yes,0,,NA,1,Created
17,2011-01-01,17,Female,54,1957-10-18,0.00313,Married,4,,2058-07-28,No,,,Permanent contract,7407,17150,Yes,1,,NA,1,Created
18,2011-01-01,18,Male,62,1949-03-04,0.008409999999999999,Married,7,,2046-08-10,Yes,,,Permanent contract,42639,35428,No,1,,NA,1,Created
19,2011-01-01,19,Female,52,1959-03-15,0.00268,Married,5,,2067-05-03,No,,,Permanent contract,21117,-3527,Yes,1,,NA,1,Created
20,2011-01-01,20,Male,54,1957-08-10,0.00404,Divorced,0,,,No,,,Permanent contract,93629,448529,No,0,,NA,1,Created
21,2011-01-01,21,Female,77,1934-08-24,0.0259,Married,6,,2058-05-22,No,,,Retired,35239,176723,Yes,3,,NA,1,Created
22,2011-01-01,22,Female,105,1906-06-02,1.0,Widowed,0,,,Yes,,,Retired,8095,34409,Yes,0,,NA,1,Created
23,2011-01-01,23,Male,64,1947-02-13,0.01097,Married,8,,2028-04-10,Yes,,,Permanent contract,39468,9366,Yes,2,,NA,1,Created
24,2011-01-01,24,Male,3,2008-09-09,0.0002,Single,0,,,No,,,Child,0,0,Yes,0,,NA,1,Created
25,2011-01-01,25,Male,37,1974-04-11,0.00082,Single,0,,,No,,,Entrepreneur without personnel,4640,15489,Yes,0,,NA,1,Created
26,2011-01-01,26,Female,6,2005-08-15,8e-05,Single,0,,,No,,,Child,0,0,No,0,30.0,2035-01-12,1,Created
27,2011-01-01,27,Female,65,1946-12-18,0.007559999999999999,Married,7,,2046-08-10,Yes,,,Permanent contract,12338,2383,No,1,,NA,1,Created
28,2011-01-01,28,Male,40,1971-05-20,0.0009400000000000001,Married,9,,2016-11-06,No,,,Flexible contract,21200,15796,No,3,,NA,1,Created
29,2011-01-01,29,Male,66,1945-10-26,0.01401,Married,10,,2016-03-19,Yes,,,Permanent contract,19733,13001,Yes,3,,NA,1,Created
30,2011-01-01,30,Female,52,1959-03-23,0.00268,Married,8,,2028-04-10,Yes,,,Permanent contract,12209,13715,Yes,2,,NA,1,Created
31,2011-01-01,31,Male,58,1953-12-02,0.00603,Married,11,,2013-10-12,Yes,,,Entrepreneur with personel,88957,124928,Yes,3,,NA,1,Created
32,2011-01-01,32,Female,9,2002-05-24,2.9999999999999997e-05,Single,0,,,Yes,35.0,2037-05-02,Child,0,0,No,0,30.0,2032-03-30,1,Created
33,2011-01-01,33,Male,31,1980-05-12,0.00041,Married,12,,2033-11-01,No,,,Entrepreneur without personnel,71512,-41530,No,2,,NA,1,Created
34,2011-01-01,34,Male,35,1976-04-22,0.00055,Married,13,,2019-04-28,Yes,,,Flexible contract,12751,576,Yes,1,,NA,1,Created
35,2011-01-01,35,Female,94,1917-12-17,0.20800000000000002,Widowed,0,,,No,,,Retired,25214,361231,Yes,0,,NA,1,Created
36,2011-01-01,36,Female,89,1922-10-27,0.11775999999999999,Widowed,0,,,Yes,,,Retired,61116,111912,No,0,,NA,1,Created
37,2011-01-01,37,Female,5,2006-01-18,4e-05,Single,0,,,No,,,Child,0,0,No,0,31.0,2037-05-06,1,Created
38,2011-01-01,38,Male,52,1959-02-01,0.00314,Divorced,0,,,Yes,,,Permanent contract,95918,615,Yes,0,,NA,1,Created
39,2011-01-01,39,Female,38,1973-12-30,0.00063,Divorced,0,,,No,,,Entrepreneur without personnel,2225,161280,Yes,0,,NA,1,Created
40,2011-01-01,40,Male,29,1982-04-10,0.0005200000000000001,Single,0,,,No,,,Entrepreneur without personnel,10105,373562,No,0,,NA,1,Created
41,2011-01-01,41,Male,7,2004-02-04,9e-05,Single,0,,,No,,,Child,0,0,No,0,,NA,1,Created
42,2011-01-01,42,Male,48,1963-06-28,0.0021100000000000003,Divorced,0,,,Yes,,,Permanent contract,12306,110012,No,0,,NA,1,Created
43,2011-01-01,43,Female,47,1964-02-26,0.00168,Divorced,0,,,No,,,Permanent contract,7054,442665,Yes,0,,NA,1,Created
44,2011-01-01,44,Male,51,1960-06-01,0.00301,Divorced,0,,,Yes,,,Flexible contract,49654,2028,No,0,,NA,1,Created
45,2011-01-01,45,Female,2,2009-12-29,0.00015,Single,0,,,No,,,Child,0,0,Yes,0,34.0,2043-10-03,1,Created
46,2011-01-01,46,Female,74,1937-01-19,0.0185,Married,9,,2016-11-06,Yes,,,Retired,20339,4442,No,3,,NA,1,Created
47,2011-01-01,47,Male,24,1987-07-14,0.00047999999999999996,Single,0,,,Yes,30.0,2017-10-03,Flexible contract,13634,-760,No,0,,NA,1,Created
48,2011-01-01,48,Male,78,1933-02-24,0.04668,Widowed,0,,,No,,,Retired,16643,18308,No,0,,NA,1,Created
49,2011-01-01,49,Male,14,1997-10-19,0.00014,Single,0,,,No,,,Child,0,0,No,0,,NA,1,Created
50,2011-01-01,50,Female,65,1946-12-16,0.007559999999999999,Married,10,,2016-03-19,No,,,Permanent contract,47072,142490,Yes,3,,NA,1,Created
51,2011-01-01,51,Female,20,1991-11-21,0.00018,Single,0,,,No,,,Flexible contract,49627,1782,Yes,0,25.0,2016-11-03,1,Created
52,2011-01-01,52,Male,40,1971-11-20,0.0009400000000000001,Divorced,0,,,Yes,,,Permanent contract,28422,-20441,Yes,0,,NA,1,Created
53,2011-01-01,53,Male,76,1935-09-16,0.0375,Divorced,0,,,Yes,,,Retired,7681,329975,No,0,,NA,1,Created
54,2011-01-01,54,Male,14,1997-02-09,0.00014,Single,0,,,Yes,34.0,2031-08-30,Child,0,0,Yes,0,,NA,1,Created
55,2011-01-01,55,Male,74,1937-02-10,0.0295,Divorced,0,,,No,,,Retired,42804,108165,Yes,0,,NA,1,Created
56,2011-01-01,56,Female,9,2002-12-24,2.9999999999999997e-05,Single,0,,,No,,,Child,0,0,No,0,35.0,2037-10-03,1,Created
57,2011-01-01,57,Female,66,1945-02-16,0.009040000000000001,Married,11,,2013-10-12,No,,,Permanent contract,17130,2498230,Yes,3,,NA,1,Created
58,2011-01-01,58,Male,59,1952-06-07,0.00717,Divorced,0,,,Yes,,,Permanent contract,20884,325351,Yes,0,,NA,1,Created
59,2011-01-01,59,Female,75,1936-02-27,0.01986,Widowed,0,,,No,,,Retired,2065,175321,No,0,,NA,1,Created
60,2011-01-01,60,Male,65,1946-06-28,0.01141,Married,14,,2026-05-26,Yes,,,Entrepreneur without personnel,469343,-1011,Yes,3,,NA,1,Created
61,2011-01-01,61,Female,18,1993-08-12,0.00023999999999999998,Single,0,,,Yes,20.0,2013-12-28,Flexible contract,17755,137704,No,0,28.0,2021-10-09,1,Created
62,2011-01-01,62,Male,4,2007-03-12,0.00011,Single,0,,,Yes,62.0,2069-01-30,Child,0,0,Yes,0,,NA,1,Created
63,2011-01-01,63,Male,32,1979-05-06,0.00059,Single,0,,,Yes,44.0,2023-09-24,Permanent contract,31164,-41974,Yes,0,,NA,1,Created
64,2011-01-01,64,Male,1,2010-12-31,0.00056,Single,0,,,No,,,Child,0,0,Yes,0,,NA,1,Created
65,2011-01-01,65,Male,76,1935-08-15,0.0375,Widowed,0,,,No,,,Retired,2138,22004,Yes,0,,NA,1,Created
66,2011-01-01,66,Female,98,1913-03-28,0.27366999999999997,Widowed,0,,,No,,,Retired,30143,532337,Yes,0,,NA,1,Created
67,2011-01-01,67,Female,74,1937-12-02,0.0185,Married,12,,2033-11-01,Yes,,,Retired,40278,252134,No,2,,NA,1,Created
68,2011-01-01,68,Male,47,1964-11-30,0.00186,Married,15,,2038-04-20,Yes,,,Permanent contract,25584,-45401,Yes,1,,NA,1,Created
