,Mutation date,ID,Gender,Age,Birthdate,Life expectancy,Marital status,Couple nr,Marriage duration,Marriage end date,Marriage intention,Marriage age,Wedding date,Employment status,Income,Capital,Children,NrChildren,Birth age,Birthing date,Alive,Event
0,2011-01-01,0,Male,40,1971-10-07,0.0009400000000000001,Married,1,,2047-06-13,No,,,Entrepreneur without personnel,18904.0,56714,No,3,,NA,1,Created
1,2011-01-01,1,Male,54,1957-07-22,0.00404,Married,2,,2043-02-06,Yes,,,Permanent contract,4375.0,-14860,Yes,1,,NA,1,Created
2,2011-01-01,2,Male,63,1948-09-30,0.00945,Married,3,,2063-08-04,Yes,,,Permanent contract,12128.0,-2368,Yes,2,,NA,1,Created
3,2011-01-01,3,Female,57,1954-05-23,0.00387,Married,1,,2047-06-13,Yes,,,Entrepreneur with personel,92326.0,23383,No,3,,NA,1,Created
4,2011-01-01,4,Male,20,1991-06-12,0.00045,Single,0,,,Yes,49.0,2040-02-22,Permanent contract,42597.0,780,Yes,0,,NA,1,Created
16680,2011-01-04,4,Male,20,1991-06-12,0.00045,Married,3477,36,2047-04-27,Yes,49,2040-02-22,Permanent contract,42597.0,780,Yes,0,,NA,1,Created
5,2011-01-01,5,Female,20,1991-12-05,0.00018,Single,0,,,No,,,Permanent contract,15353.0,635110,Yes,0,41.0,2032-04-05,1,Created
16961,2011-02-26,5,Female,20,1991-12-05,0.00018,Married,3482,30,2041-02-23,No,,,Permanent contract,15353.0,635110,Yes,0,41,2032-04-05,1,Life event: Married
6,2011-01-01,6,Female,11,2000-04-20,7e-05,Single,0,,,Yes,32.0,2032-10-01,Child,0.0,0,No,0,26.0,2026-07-13,1,Created
7,2011-01-01,7,Female,26,1985-12-04,1.0,Single,0,,,Yes,33.0,2018-10-23,Entrepreneur without personnel,16873.0,4952491,Yes,0,28.0,2013-12-29,1,Created
16972,2011-02-28,7,Female,26,1985-12-04,1.0,Married,3483,37,2048-10-01,Yes,33,2018-10-23,Entrepreneur without personnel,16873.0,4952491,Yes,0,28,2013-12-29,1,Life event: Married
17017,2011-03-09,7,Female,26,1985-12-04,1.0,Married,3483,37,2048-10-01,Yes,33,2018-10-23,Entrepreneur without personnel,16873.0,4952491,Yes,0,28,2013-12-29,0,Life event: Deceased
